,Saison,Name,Player_ID,Alter,Nationalität,Abgebender Verein,ID_1,Aufnehmender Verein,ID_2,Zielland,Ablösesumme,Ligahöhe
2059,14/15,Dennis Dessaer,89581,31,Belgien,KV Oostende,2861,KV Woluwe Zaventem,19588,Belgien,0.0,2.Liga
2060,14/15,Laurent Depoitre,90583,25,Belgien,KV Oostende,2861,KAA Gent,157,Belgien,0.0,1.Liga
2061,14/15,Georgios Kaminiaris,124697,25,Belgien,KV Oostende,2861,RAEC Mons (- 2015),1411,Belgien,0.0,2.Liga
2062,14/15,Imoh Ezekiel,216463,20,Nigeria,Standard Lüttich,3057,Al-Arabi SC,1230,Katar,8000000.0,1.Liga
2063,14/15,William Vainqueur,47893,25,Frankreich,Standard Lüttich,3057,Dynamo Moskau,121,Russland,6000000.0,1.Liga
2064,14/15,Michy Batshuayi,179184,20,Belgien,Standard Lüttich,3057,Olympique Marseille,244,Frankreich,6000000.0,1.Liga
2065,14/15,George Tucudean,130345,23,Rumänien,Standard Lüttich,3057,Charlton Athletic,358,England,800000.0,2.Liga
2066,14/15,Ibrahima Cissé,160380,20,Guinea,Standard Lüttich,3057,KV Mechelen,354,Belgien,200000.0,1.Liga
2067,14/15,Franco Zennaro,110728,21,Belgien,Standard Lüttich,3057,NK Istra 1961,999,Kroatien,0.0,1.Liga
2068,14/15,Daniel Opare,65781,23,Ghana,Standard Lüttich,3057,FC Porto,720,Portugal,0.0,1.Liga
2069,14/15,Iván Bulos,194841,21,Peru,Standard Lüttich,3057,Deportivo Municipal,17974,Peru,0.0,1.Liga
2070,14/15,Iván Bulos,194841,21,Peru,Standard Lüttich,3057,Deportivo Municipal,17974,Peru,0.0,1.Liga
2071,14/15,Kensuke Nagai,103305,25,Japan,Standard Lüttich,3057,Nagoya Grampus,1066,Japan,0.0,1.Liga
2072,14/15,Kensuke Nagai,103305,25,Japan,Standard Lüttich,3057,Nagoya Grampus,1066,Japan,0.0,1.Liga
2073,14/15,Dudu Biton,58327,26,Israel,Standard Lüttich,3057,Hapoel Tel Aviv,1017,Israel,0.0,1.Liga
