,Saison,Name,Player_ID,Alter,Nationalität,Abgebender Verein,ID_1,Aufnehmender Verein,ID_2,Zielland,Ablösesumme
688,10/11,Genc Mehmeti,4918,29,Schweiz,AC Bellinzona,2047,SC Kriens,2074,Schweiz,?
689,10/11,Moreno Costanzo,41207,22,Schweiz,FC St. Gallen 1879,257,BSC Young Boys,452,Schweiz,"1,00 Mio. €"
690,10/11,Moreno Merenda,6672,32,Schweiz,FC St. Gallen 1879,257,FC Vaduz,163,Schweiz,ablösefrei
691,10/11,Thomas Knöpfel,54650,27,Schweiz,FC St. Gallen 1879,257,FC Schaffhausen,1277,Schweiz,ablösefrei
692,10/11,Zé Vítor,44170,28,Portugal,FC St. Gallen 1879,257,AEL Limassol,786,Zypern,ablösefrei
693,10/11,Marc Zellweger,1404,36,Schweiz,FC St. Gallen 1879,257,SC Brühl SG,13544,Schweiz,ablösefrei
694,10/11,Michel Avanzini,65958,21,Schweiz,FC St. Gallen 1879,257,FC Lausanne-Sport,527,Schweiz,ablösefrei
695,10/11,Jiri Koubsky,26935,27,Tschechien,FC St. Gallen 1879,257,SK Slavia Prag,62,Tschechien,ablösefrei
696,10/11,Diego Ciccone,47408,22,Schweiz,FC St. Gallen 1879,257,FC Vaduz,163,Schweiz,ablösefrei
697,10/11,Yves Oehri,45037,23,Liechtenstein,FC St. Gallen 1879,257,FC Vaduz,163,Schweiz,?
698,10/11,Mario Frick,21755,36,Liechtenstein,FC St. Gallen 1879,257,Grasshopper Club Zürich,504,Schweiz,?
699,10/11,Veli Lampi,37301,25,Finnland,FC Zürich,260,Willem II Tilburg,403,Niederlande,ablösefrei
700,10/11,Eric Hassli,12031,29,Frankreich,FC Zürich,260,Vancouver Whitecaps FC,6321,Vereinigte Staaten,ablösefrei
701,10/11,Onyekachi Okonkwo,50461,28,Nigeria,FC Zürich,260,Al-Kharitiyath SC,19585,Katar,?
702,10/11,Alain Rochat,4843,27,Schweiz,FC Zürich,260,Vancouver Whitecaps FC,6321,Vereinigte Staaten,?
703,10/11,Seydou Doumbia,75287,22,Elfenbeinküste,BSC Young Boys,452,ZSKA Moskau,2410,Russland,"11,00 Mio. €"
704,10/11,Joetex Frimpong,35233,28,Ghana,BSC Young Boys,452,FC Grenchen (1906-2015),105788,Schweiz,ablösefrei
705,10/11,Miguel Alfredo Portillo,4792,27,Argentinien,BSC Young Boys,452,Chornomorets Odessa,6992,Ukraine,ablösefrei
706,10/11,Gilles Yapi,13105,28,Elfenbeinküste,BSC Young Boys,452,FC Basel 1893,26,Schweiz,ablösefrei
707,10/11,Marc Schneider,4867,29,Schweiz,BSC Young Boys,452,FC Thun,938,Schweiz,?
708,10/11,Eudis,19216,26,Brasilien,BSC Young Boys,452,Servette FC,61,Schweiz,?
709,10/11,Alberto Regazzoni,20100,27,Schweiz,BSC Young Boys,452,FC St. Gallen 1879,257,Schweiz,?
710,10/11,Paíto,16118,27,Mosambik,FC Sion,321,Neuchâtel Xamax,625,Schweiz,ablösefrei
711,10/11,Jamal Alioui,8190,28,Marokko,FC Sion,321,Kardemir DC Karabükspor,1506,Türkei,ablösefrei
712,10/11,Guillermo Imhoff,30725,28,Argentinien,FC Sion,321,Persires Bali Devata,31435,Indonesien,ablösefrei
713,10/11,Mobulu M'Futi,4800,28,Schweiz,FC Sion,321,Servette FC,61,Schweiz,ablösefrei
714,10/11,Tariq Chihab,4937,34,Marokko,FC Sion,321,FC Saxon Sports,19765,Schweiz,ablösefrei
715,10/11,Emile Mpenza,272,32,Belgien,FC Sion,321,Neftchi Baku,8031,Aserbaidschan,ablösefrei
